"Conclusion" "censor"
"collective action" 0.755913312693498
"pornography" 0.513791957460951
"criticism of the censors" 0.47563025210084
"collective action" 0.398512039981826
"pornography" 0.398082971394339
"collective action" 0.371428571428571
"collective action" 0.351462450592885
"criticism of the censors" 0.305855789935818
"collective action" 0.258810148731409
"criticism of the censors" 0.226058810621023
"collective action" 0.209109311740891
"criticism of the censors" 0.138305941845765
"criticism of the censors" 0.132610939112487
"collective action" 0.132124352331606
"SPAM" 0.122881355932203
"collective action" 0.112807018959909
"collective action" 0.105232029683862
"news" 0.101207386363636
"news" 0.085687382297552
"news" 0.084949415498115
"policy" 0.066772237196766
"news" 0.057416797456638
"news" 0.056509560345878
"policy" 0.045883128095606
"news" 0.043035714285714
"news" 0.040991140787129
"news" 0.03723110865968
"collective action" 0.035830639782464
"news" 0.029846179994901
"news" 0.028094844223876
"news" 0.027828411714668
"policy" 0.022247107129526
"news" 0.01784556835771
"collective action" 0.017732452621122
"news" 0.014831046747968
"news" 0.013156653777233
"collective action" 0.005114002022617
"news" 0.004575888748047
"news" 0.003513646020592
"No Coherent Event" 0.002981795354677
"news" 0.002109181141439
"news" 0.00098734404452
"news" -0.002059025394647
"news" -0.005902964959569
"policy" -0.007602339181287
"No Coherent Event" -0.00978959672706
"news" -0.011018318965517
"policy" -0.014571888810871
"policy" -0.015745341614907
"news" -0.021400985234009
"news" -0.02173824100054
"policy" -0.023035455110927
"news" -0.024648028673835
"policy" -0.025102459016393
"news" -0.025153145528554
"policy" -0.025449810606061
"news" -0.032935028624684
"news" -0.035896366332962
"news" -0.036495376955903
"news" -0.037023873631305
"news" -0.03747733872391
"policy" -0.041481186189179
"policy" -0.044005102040816
"policy" -0.045977011494253
"news" -0.049799693146948
"policy" -0.052068772714565
"news" -0.053631120141574
"No Coherent Event" -0.054546609093218
"news" -0.056533731017784
"news" -0.058233173076923
"policy" -0.05958719032586
"news" -0.060511448111805
"policy" -0.061011904761905
"news" -0.063236281511323
"news" -0.067637344745778
"No Coherent Event" -0.070451127819549
"news" -0.07645390070922
"news" -0.080823774765381
"policy" -0.081043249296329
"policy" -0.086292433298176
"news" -0.090957324106113
"news" -0.103456381603334
"policy" -0.125507246376812
"news" -0.127854785478548
"news" -0.183987735676368
"news" -0.190062893081761
"news" -0.200586651665528
