GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,A7D001,A7D002,A7D003,A7D004,A7D005
"G36004700001","1910","New York","36","Kings","047",,"0001",,"Tract    0001     in New York City",1674,2118,1829,46,17
"G36004700002","1910","New York","36","Kings","047",,"0002",,"Tract    0002     in New York City",2998,1304,1738,124,13
"G36004700003","1910","New York","36","Kings","047",,"0003",,"Tract    0003     in New York City",1623,2253,2364,27,5
"G36004700004","1910","New York","36","Kings","047",,"0004",,"Tract    0004     in New York City",1127,1386,1144,48,9
"G36004700005","1910","New York","36","Kings","047",,"0005",,"Tract    0005     in New York City",1001,2894,2914,79,23
"G36004700006","1910","New York","36","Kings","047",,"0006",,"Tract    0006     in New York City",1668,2988,2092,154,42
"G36004700007","1910","New York","36","Kings","047",,"0007",,"Tract    0007     in New York City",918,1366,1016,190,11
"G36004700008","1910","New York","36","Kings","047",,"0008",,"Tract    0008     in New York City",477,479,444,45,8
"G36004700009","1910","New York","36","Kings","047",,"0009",,"Tract    0009     in New York City",1042,2135,1938,62,7
"G36004700010","1910","New York","36","Kings","047",,"0010",,"Tract    0010     in New York City",328,1320,2195,0,1
"G36004700011","1910","New York","36","Kings","047",,"0011",,"Tract    0011     in New York City",1336,3996,3782,26,51
"G36004700012","1910","New York","36","Kings","047",,"0012",,"Tract    0012     in New York City",1554,2600,1955,255,16
"G36004700013","1910","New York","36","Kings","047",,"0013",,"Tract    0013     in New York City",994,2676,2573,21,2
"G36004700014","1910","New York","36","Kings","047",,"0014",,"Tract    0014     in New York City",918,1028,684,1437,6
"G36004700015","1910","New York","36","Kings","047",,"0015",,"Tract    0015     in New York City",727,1615,1854,1162,8
"G36004700016","1910","New York","36","Kings","047",,"0016",,"Tract    0016     in New York City",2273,1794,1298,574,15
"G36004700017","1910","New York","36","Kings","047",,"0017",,"Tract    0017     in New York City",1470,2053,1540,59,6
"G36004700018","1910","New York","36","Kings","047",,"0018",,"Tract    0018     in New York City",1116,1513,1385,101,2
"G36004700019","1910","New York","36","Kings","047",,"0019",,"Tract    0019     in New York City",993,3244,3279,15,6
"G36004700020","1910","New York","36","Kings","047",,"0020",,"Tract    0020     in New York City",332,2110,2811,0,2
"G36004700021","1910","New York","36","Kings","047",,"0021",,"Tract    0021     in New York City",280,4238,7202,0,10
"G36004700022","1910","New York","36","Kings","047",,"0022",,"Tract    0022     in New York City",499,987,635,0,1
"G36004700023","1910","New York","36","Kings","047",,"0023",,"Tract    0023     in New York City",370,1228,1347,0,2
"G36004700024","1910","New York","36","Kings","047",,"0024",,"Tract    0024     in New York City",1147,2841,2186,2,4
"G36004700025","1910","New York","36","Kings","047",,"0025",,"Tract    0025     in New York City",1281,2007,1648,81,6
"G36004700026","1910","New York","36","Kings","047",,"0026",,"Tract    0026     in New York City",1192,2452,2090,19,1
"G36004700027","1910","New York","36","Kings","047",,"0027",,"Tract    0027     in New York City",1091,2017,1909,2,2
"G36004700028","1910","New York","36","Kings","047",,"0028",,"Tract    0028     in New York City",932,2439,1887,0,2
"G36004700029","1910","New York","36","Kings","047",,"0029",,"Tract    0029     in New York City",1474,3040,2550,0,4
"G36004700030","1910","New York","36","Kings","047",,"0030",,"Tract    0030     in New York City",1628,3153,2295,165,6
"G36004700031","1910","New York","36","Kings","047",,"0031",,"Tract    0031     in New York City",1607,2842,1683,180,2
"G36004700032","1910","New York","36","Kings","047",,"0032",,"Tract    0032     in New York City",1922,3530,2054,29,10
"G36004700033","1910","New York","36","Kings","047",,"0033",,"Tract    0033     in New York City",1665,2840,1867,3,7
