name,total_spent,year
Philip Morris,"$30,508,000",1998
British American Tobacco,"$25,180,000",1998
Bell Atlantic,"$21,260,000",1998
US Chamber of Commerce,"$17,000,000",1998
American Medical Assn,"$16,920,000",1998
Ford Motor Co,"$13,807,000",1998
Business Roundtable,"$11,640,000",1998
Edison Electric Institute,"$11,540,000",1998
American Hospital Assn,"$10,660,000",1998
Blue Cross/Blue Shield,"$9,251,571",1998
General Motors,"$8,454,900",1998
Boeing Co,"$8,440,000",1998
AT&T,"$8,110,000",1998
Susquehanna Pfaltzgraff,"$8,000,000",1998
Ameritech Corp,"$7,560,000",1998
Lockheed Martin,"$7,492,480",1998
Sprint Corp,"$7,398,665",1998
Citigroup Inc,"$7,380,000",1998
General Electric,"$7,280,000",1998
American Council of Life Insurance,"$7,050,000",1998
Business Roundtable,"$21,620,000",2000
US Chamber of Commerce,"$18,689,160",2000
American Medical Assn,"$16,275,000",2000
General Electric,"$16,020,000",2000
Lockheed Martin,"$13,507,200",2000
Edison Electric Institute,"$12,080,000",2000
Philip Morris,"$11,520,000",2000
Verizon Communications,"$10,480,000",2000
National Assn of Realtors,"$9,400,000",2000
AT&T,"$9,111,000",2000
Seniors Coalition,"$9,022,096",2000
Association of American Railroads,"$8,760,160",2000
Blue Cross/Blue Shield,"$8,485,821",2000
American Hospital Assn,"$8,120,000",2000
Ford Motor Co,"$8,048,000",2000
Boeing Co,"$7,980,000",2000
Pharmacia Corp,"$7,782,960",2000
Pharmaceutical Research & Manufacturers of America,"$7,480,000",2000
Schering-Plough Corp,"$7,320,000",2000
SBC Communications,"$7,208,000",2000
US Chamber of Commerce,"$41,560,000",2002
Philip Morris,"$15,120,000",2002
American Medical Assn,"$15,100,000",2002
American Hospital Assn,"$14,269,880",2002
Pharmaceutical Research & Manufacturers of America,"$14,260,000",2002
National Assn of Realtors,"$13,058,000",2002
General Electric,"$13,020,000",2002
Edison Electric Institute,"$12,113,000",2002
Business Roundtable,"$11,980,000",2002
Northrop Grumman,"$11,770,618",2002
60 Plus Assn,"$11,440,000",2002
American Insurance Assn,"$10,865,300",2002
Blue Cross/Blue Shield,"$10,334,398",2002
General Motors,"$9,976,000",2002
Freddie Mac,"$9,760,000",2002
Seniors Coalition,"$9,459,355",2002
Alliance of Automobile Manufacturers,"$9,231,329",2002
Exxon Mobil,"$8,372,729",2002
Boeing Co,"$8,350,000",2002
Verizon Communications,"$8,060,000",2002
US Chamber of Commerce,"$53,380,000",2004
American Medical Assn,"$18,820,000",2004
General Electric,"$17,240,000",2004
American Hospital Assn,"$16,149,161",2004
Altria Group,"$15,798,500",2004
Pharmaceutical Research & Manufacturers of America,"$15,520,000",2004
Freddie Mac,"$15,440,000",2004
US Telecom Assn,"$14,780,000",2004
National Assn of Realtors,"$13,990,000",2004
Northrop Grumman,"$12,646,000",2004
SBC Communications,"$11,994,338",2004
Southern Co,"$11,610,694",2004
Edison Electric Institute,"$11,220,000",2004
Asbestos Study Group,"$10,020,000",2004
Microsoft Corp,"$9,460,000",2004
Fannie Mae,"$9,440,000",2004
American Council of Life Insurers,"$9,155,756",2004
Verizon Communications,"$9,080,000",2004
General Motors,"$8,660,000",2004
Blue Cross/Blue Shield,"$8,605,888",2004
US Chamber of Commerce,"$72,995,000",2006
AT&T Inc,"$27,445,497",2006
AARP,"$23,160,000",2006
American Medical Assn,"$19,880,000",2006
American Hospital Assn,"$19,195,135",2006
US Telecom Assn,"$18,380,000",2006
Pharmaceutical Research & Manufacturers of America,"$18,100,000",2006
General Electric,"$16,940,000",2006
Northrop Grumman,"$16,829,865",2006
Altria Group,"$15,690,000",2006
Exxon Mobil,"$14,540,000",2006
PG&E Corp,"$14,190,000",2006
National Cable & Telecommunications Assn,"$14,020,000",2006
Verizon Communications,"$13,362,500",2006
Southern Co,"$13,300,000",2006
National Assn of Manufacturers,"$13,240,000",2006
Alliance of Automobile Manufacturers,"$13,028,508",2006
Pfizer Inc,"$11,818,000",2006
Edison Electric Institute,"$11,000,000",2006
Lockheed Martin,"$10,228,000",2006
US Chamber of Commerce,"$91,955,000",2008
AARP,"$35,120,000",2008
Exxon Mobil,"$29,000,000",2008
PG&E Corp,"$27,250,000",2008
Northrop Grumman,"$20,933,252",2008
American Medical Assn,"$20,555,000",2008
American Hospital Assn,"$20,487,089",2008
Pharmaceutical Research & Manufacturers of America,"$20,220,000",2008
Koch Industries,"$20,023,000",2008
General Electric,"$18,660,000",2008
Verizon Communications,"$17,910,000",2008
Boeing Co,"$17,725,000",2008
National Assn of Realtors,"$17,390,000",2008
Blue Cross/Blue Shield,"$16,425,165",2008
Lockheed Martin,"$16,241,506",2008
AT&T Inc,"$15,076,675",2008
National Cable & Telecommunications Assn,"$14,500,000",2008
Southern Co,"$13,980,000",2008
Altria Group,"$13,840,000",2008
Business Roundtable,"$13,320,000",2008
US Chamber of Commerce,"$132,067,500",2010
PG&E Corp,"$45,510,000",2010
General Electric,"$39,290,000",2010
FedEx Corp,"$25,582,074",2010
