name,country_parent,total,dems,repubs,year
Accenture (Accenture),Ireland/Accenture plc,"$3,000",$0,"$3,000",1998
Air Liquide America,France/L'Air Liquide SA,"$6,800","$6,800",$0,1998
Airbus Group,Netherlands/Airbus Group,"$97,500","$41,000","$56,500",1998
Alkermes Inc,Ireland/Alkermes Plc,"$43,000","$24,000","$19,000",1998
Allianz of America (Allianz),Germany/Allianz AG Holding,"$14,500","$10,500","$4,000",1998
AMG Vanadium,Netherlands/AMG Advanced Metallurgical Group,"$1,025",$0,"$1,025",1998
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$242,500","$105,000","$137,500",1998
AON Corp (AON plc),UK/AON PLC,"$16,000","$8,000","$8,000",1998
APL Maritime (CMA CGM),France/CMA CGM SA,"$4,000","$2,000","$2,000",1998
Aptiv PLC,Ireland/Aptiv PLC,$0,$0,$0,1998
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,$0,$0,$0,1998
Arch Capital Group (US),UK/Arch Capital Group,"$7,500","$5,500","$2,000",1998
Arkema Inc,France/Arkema,"$22,000","$11,000","$11,000",1998
Assured Guaranty Municipal Corp (Assured Guaranty Corp),UK/Assured Guaranty Ltd,"$30,500","$19,500","$11,000",1998
Astellas US,Japan/Astellas Pharma,"$54,500","$25,500","$29,000",1998
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$126,500","$49,500","$77,000",1998
Atkins North America,UK/SNC-Lavalin,"$5,000",$0,"$5,000",1998
Austal USA,Australia/Austal Ltd,"$17,200",$0,"$17,200",1998
Avangrid Inc (Iberdrola SA),Spain/Iberdrola SA,"$39,500","$27,000","$12,500",1998
Bacardi USA,UK/Bacardi Ltd,"$16,500","$12,500","$4,000",1998
BAE Systems (BAE Systems),UK/BAE Systems,"$386,000","$182,000","$204,000",1998
Barclays Group US,UK/Barclays plc,"$29,000","$17,500","$11,500",1998
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$10,500","$8,000","$2,500",1998
BASF Corp,Germany/BASF SE,"$213,500","$121,000","$92,500",1998
Bayer Corp (Bayer AG),Germany/Bayer AG,"$86,000","$54,500","$31,500",1998
BBVA USA (PNC Financial Services),Spain/Banco Bilbao Vizcaya Argentaria,"$182,000","$105,500","$76,500",1998
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$13,000","$10,500","$2,500",1998
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,$0,$0,$0,1998
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$88,000","$48,000","$40,000",1998
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$78,000","$41,000","$37,000",1998
Bombardier Aerospace (Bombardier Inc),Canada/Bombardier Inc,"$20,500","$11,500","$9,000",1998
BP North America,UK/BP PLC,$0,$0,$0,1998
Bridgestone Americas,Japan/Bridgestone Corp,"$15,000","$7,000","$8,000",1998
Bumble Bee Foods (FCF Co),Taiwan/FCF Co,"$6,000","$6,000",$0,1998
CalPortland Co,Japan/Taiheiyo Cement Co,"$24,000","$2,000","$22,000",1998
Carmeuse Lime,Netherlands/Carmeuse SA,$0,$0,$0,1998
Case New Holland,Netherlands/CNH Industrial,"$45,000",$0,"$45,000",1998
CEMEX Inc,Mexico/CEMEX SAB de CV,"$17,500","$8,000","$9,500",1998
CGI Technologies & Solutions,Canada/CGI Group,"$26,500","$25,500","$1,000",1998
Chubb Group of Insurance Companies,Switzerland/Chubb Ltd,"$16,500","$14,000","$2,500",1998
CIBC Bancorp,Canada/Canadian Imperial Bank of Commerce,"$2,000","$2,000",$0,1998
Cirrus Aircraft Corp,China/Aviation Industry Corp of China,$0,$0,$0,1998
Continental Automotive Systems (Continental AG),Germany/Continental AG,$0,$0,$0,1998
Covestro LLC (Covestro AG),Germany/Covestro AG,"$2,500","$4,500","-$2,000",1998
Credit Suisse Securities,Switzerland/Credit Suisse Group,$0,$0,$0,1998
CRH Americas (CRH PLC),Ireland/CRH PLC,"$288,400","$116,000","$172,400",1998
Cronos USA,Canada/Cronos Group,"$15,000","$13,000","$2,000",1998
CSL Behring,Australia/CSL Ltd,"$14,900","$17,400","-$2,500",1998
